R-MMU-1008248	Ak3	n/a
R-MMU-1013020	Gabbr1	n/a
R-MMU-1013020	Gnb1	n/a
R-MMU-1013020	Gnb2	n/a
R-MMU-1013020	Gng12	n/a
R-MMU-1013020	Gng2	n/a
R-MMU-1013020	Gng3	n/a
R-MMU-1013020	Gng5	n/a
R-MMU-1013020	Gngt2	n/a
R-MMU-1013020	Kcnj12	n/a
R-MMU-1013020	Kcnj3	n/a
R-MMU-1022127	Amfr	n/a
R-MMU-1022127	Derl2	n/a
R-MMU-1022127	March6	n/a
R-MMU-1022127	Os9	n/a
R-MMU-1022127	Rnf103	n/a
R-MMU-1022127	Rnf139	n/a
R-MMU-1022127	Rnf5	n/a
R-MMU-1022127	Sel1l	n/a
R-MMU-1022127	Syvn1	n/a
R-MMU-1022127	Trim13	n/a
R-MMU-1022129	C03525	n/a
R-MMU-1022129	St3gal4	n/a
R-MMU-1022133	C03525	n/a
R-MMU-1022133	St8sia6	n/a
R-MMU-1028788	Fut8	n/a
R-MMU-109278	C00212	n/a
R-MMU-109278	C00294	n/a
R-MMU-109278	C00387	n/a
R-MMU-109278	C00559	n/a
R-MMU-109278	Nt5e	n/a
R-MMU-109338	C05279	n/a
R-MMU-109338	C05280	n/a
R-MMU-109338	Eci1	n/a
R-MMU-109343	Decr1	n/a
R-MMU-109449	C00214	n/a
R-MMU-109449	C00299	n/a
R-MMU-109449	C00475	n/a
R-MMU-109449	C00526	n/a
R-MMU-109449	C00881	n/a
R-MMU-109449	Nt5c3	n/a
R-MMU-109470	C00294	n/a
R-MMU-109470	C00330	n/a
R-MMU-109470	C00387	n/a
R-MMU-109470	C05512	n/a
R-MMU-109470	Nt5c	n/a
R-MMU-109514	C00214	n/a
R-MMU-109514	C00299	n/a
R-MMU-109514	C00526	n/a
R-MMU-109514	C01368	n/a
R-MMU-109514	C03031	n/a
R-MMU-109514	Nt5m	n/a
R-MMU-109527	C00106	n/a
R-MMU-109527	C00147	n/a
R-MMU-109527	C00178	n/a
R-MMU-109527	C00212	n/a
R-MMU-109527	C00214	n/a
R-MMU-109527	C00242	n/a
R-MMU-109527	C00262	n/a
R-MMU-109527	C00294	n/a
R-MMU-109527	C00299	n/a
R-MMU-109527	C00380	n/a
R-MMU-109527	C00387	n/a
R-MMU-109527	C00475	n/a
R-MMU-109527	Slc29a1	n/a
R-MMU-109527	Slc29a2	n/a
R-MMU-109530	C00212	n/a
R-MMU-109530	C00214	n/a
R-MMU-109530	C00299	n/a
R-MMU-109530	C00475	n/a
R-MMU-109530	C00559	n/a
R-MMU-109530	Slc28a1	n/a
