HMDB	KEGG
HMDB00001	C01152
HMDB00002	C00986
HMDB00005	C00109
HMDB00008	C05984
HMDB00010	C05299
HMDB00011	C01089
HMDB00012	C00526
HMDB00014	C00881
HMDB00015	C05488
HMDB00016	C03205
HMDB00017	C00847
HMDB00019	C00141
HMDB00020	C00642
HMDB00021	C02515
HMDB00022	C05587
HMDB00023	C06001
HMDB00024	C06125
HMDB00026	C02642
HMDB00027	C00272
HMDB00030	C00120
HMDB00031	C00523
HMDB00032	C01164
HMDB00033	C00386
HMDB00034	C00147
HMDB00036	C05122
HMDB00037	C01780
HMDB00038	C02953
HMDB00039	C00246
HMDB00042	C00033
HMDB00043	C00719
HMDB00044	C00072
HMDB00045	C00020
HMDB00048	C05402
HMDB00050	C00212
HMDB00051	C00014
HMDB00052	C03406
HMDB00053	C00280
HMDB00054	C00486
HMDB00055	C06422
HMDB00056	C00099
HMDB00058	C00575
HMDB00060	C00164
HMDB00061	C00054
HMDB00062	C15025
HMDB00063	C00735
HMDB00064	C00300
HMDB00067	C00187
HMDB00068	C00788
HMDB00070	C00408
HMDB00071	C05512
HMDB00072	C00417
HMDB00073	C03758
HMDB00076	C00429
HMDB00077	C01227
HMDB00078	C01419
HMDB00079	C00906
HMDB00082	C00063
HMDB00085	C00330
HMDB00086	C00670
HMDB00087	C00543
HMDB00089	C00475
HMDB00092	C01026
HMDB00094	C00158
HMDB00095	C00055
HMDB00097	C00114
HMDB00098	C00181
HMDB00099	C02291
HMDB00101	C00559
HMDB00107	C01697
HMDB00108	C00469
HMDB00112	C00334
HMDB00114	C01233
HMDB00115	C00160
HMDB00118	C05582
HMDB00119	C00048
HMDB00121	C00504
HMDB00122	C00031
HMDB00123	C00037
HMDB00124	C00085
HMDB00124	C05345
HMDB00125	C00051
HMDB00126	C00093
HMDB00127	C00191
HMDB00128	C00581
HMDB00130	C00544
HMDB00131	C00116
HMDB00132	C00242
HMDB00133	C00387
HMDB00134	C00122
HMDB00138	C01921
HMDB00139	C00258
HMDB00140	C01190
HMDB00142	C00058
HMDB00143	C00984
HMDB00145	C00468
HMDB00148	C00025
HMDB00149	C00189
HMDB00150	C00198
HMDB00151	C00951
HMDB00152	C00628
HMDB00153	C05141
HMDB00156	C00149
HMDB00157	C00262
HMDB00158	C00082
HMDB00159	C00079
HMDB00161	C00041
HMDB00162	C00148
HMDB00163	C00208
HMDB00164	C00218
HMDB00167	C00188
HMDB00168	C00152
HMDB00169	C00159
HMDB00172	C00407
HMDB00174	C01019
HMDB00175	C00130
HMDB00176	C01384
HMDB00177	C00135
HMDB00181	C00355
HMDB00182	C00047
HMDB00186	C00243
HMDB00187	C00065
HMDB00189	C00081
HMDB00190	C00186
HMDB00191	C00049
HMDB00192	C00491
HMDB00193	C00311
HMDB00194	C01262
HMDB00195	C00294
HMDB00197	C00954
HMDB00201	C02571
HMDB00202	C02170
HMDB00205	C00166
HMDB00206	C02727
HMDB00207	C00712
HMDB00208	C00026
HMDB00209	C07086
HMDB00210	C00864
HMDB00211	C00137
HMDB00212	C01074
HMDB00213	C04006
HMDB00214	C00077
HMDB00215	C00140
HMDB00216	C00547
HMDB00217	C00006
HMDB00218	C01103
HMDB00220	C00249
HMDB00221	C00005
HMDB00222	C02990
HMDB00223	C00036
HMDB00224	C00346
HMDB00225	C00322
HMDB00226	C00295
HMDB00227	C00418
HMDB00228	C00146
HMDB00229	C00455
HMDB00230	C19910
HMDB00232	C03722
HMDB00234	C00535
HMDB00235	C00378
HMDB00237	C00163
HMDB00238	C00835
HMDB00239	C00314
HMDB00240	C00094
HMDB00241	C02191
HMDB00243	C00022
HMDB00244	C00255
HMDB00245	C00931
HMDB00247	C00794
HMDB00248	C01829
HMDB00250	C00013
HMDB00251	C00245
HMDB00252	C00319
HMDB00253	C01953
HMDB00254	C00042
HMDB00256	C00751
HMDB00257	C00320
HMDB00258	C00089
HMDB00259	C00780
HMDB00262	C00178
HMDB00263	C00074
HMDB00265	C02465
HMDB00267	C01879
HMDB00268	C05476
HMDB00269	C00836
HMDB00271	C00213
HMDB00272	C01005
HMDB00273	C00214
HMDB00277	C06124
HMDB00279	C00449
HMDB00280	C00119
HMDB00283	C00121
HMDB00285	C00075
HMDB00286	C00029
HMDB00288	C00105
HMDB00289	C00366
HMDB00290	C00043
HMDB00291	C05584
HMDB00292	C00385
HMDB00293	C00700
HMDB00294	C00086
HMDB00295	C00015
HMDB00296	C00299
HMDB00299	C01762
HMDB00300	C00106
HMDB00301	C00785
HMDB00302	C00052
HMDB00303	C00398
HMDB00304	C00203
HMDB00305	C00473
HMDB00306	C00483
HMDB00313	C05300
HMDB00315	C06390
HMDB00318	C05576
HMDB00319	C01124
HMDB00321	C02360
HMDB00335	C05300
HMDB00338	C05301
HMDB00343	C05298
HMDB00352	C05139
HMDB00355	C03761
HMDB00357	C01089
HMDB00361	C17660
HMDB00363	C05138
HMDB00364	C17727
HMDB00365	C07635
HMDB00370	C05672
HMDB00372	C14441
HMDB00374	C01176
HMDB00375	C11457
HMDB00383	C07632
HMDB00397	C00196
HMDB00398	C00846
HMDB00402	C02504
HMDB00405	C05302
HMDB00406	C14383
HMDB00411	C17646
HMDB00415	C17726
HMDB00423	C10447
